#begin document (story100.txt); part 000
story100.txt	tok_No	Token				POS		Anaphora     Coreference
story100.txt	3    	&apos;                       	N_NN           	I-NP 			&apos,unk                          	-    
story100.txt	4    	என்ற                                              	CC_CCS         	B-CCP			என்ற,ADV                            	-    
story100.txt	5    	பெயரில்                                      	N_NN           	B-NP 			பெயர்,N                             	-    
story100.txt	6    	அந்த                                              	DM_DMR         	B-NP 			அந்த,ADJ                            	(3
story100.txt	7    	விழா                                             	N_NN           	I-NP 			விழா,N                             	3)
story100.txt	8    	கொண்டாடப்பட்டது                            	V_VM_VF        	B-VGF			கொண்டாடு,V                          	-    
story100.txt	9    	.                            	RD_PUNC        	I-VGF			&dot;,punc                         	-    

story100.txt	0    	சர்வதேச                                      	N_NN           	B-NP 			சர்வதேச,ADJ                         	(2
story100.txt	1    	செஞ்சிலுவைச்                                  	N_NN           	I-NP 			செஞ்சிலுவை,N                        	2
story100.txt	2    	சங்கத்தை                                      	N_NN           	I-NP 			சங்கத்,N                             	2)
story100.txt	3    	தோற்றுவித்த                                   	V_VM_VNF_RP    	B-VGNF			தோற்றுவி,V                          	-    
story100.txt	4    	திரு.ஹென்றி                                  	N_NNP          	B-NP 			திரு.ஹென்றி,N,M,,                   	-    
story100.txt	5    	துராந்த்                                      	N_NNP          	I-NP 			துராந்த்,N,,,                        	-    
story100.txt	6    	-இன்                                              	N_NN           	I-NP 			இன்,N                               	-    
story100.txt	7    	மார்பளவு                                     	N_NN           	I-NP 			மார்பளவு,N                          	-    
story100.txt	8    	சிலைக்கு                                     	N_NN           	I-NP 			சிலை,N                             	-    
story100.txt	9    	டாக்டர்.ஹர்ஷ்                                   	N_NN           	B-NP 			டாக்டர்.ஹர்ஷ்,N,M,,                    	(1
story100.txt	10   	வர்த்தன்                                            	N_NN           	B-NP 			வர்த்தன்,N,M,,                        	1)
story100.txt	11   	மாலை                                             	N_NN           	I-NP 			மாலை,N                             	-    
story100.txt	12   	அணிவித்து                                    	V_VM_VNF_VBN   	B-VGNF			அணிவி,V                            	-    
story100.txt	13   	,                            	RD_PUNC        	I-VGNF			&comma;,punc                       	-    
story100.txt	14   	ஹரியானாவுக்கான                           	JJ             	B-NP 			ஹரியானா,N                          	-    
story100.txt	15   	நிவாரணப்                                     	N_NN           	I-NP 			நிவாரணம்,N                          	-    
story100.txt	16   	பொருட்களை                                    	N_NN           	I-NP 			பொருள்,N                            	-    
story100.txt	17   	அனுப்பி                                      	V_VM_VNF_VBN   	B-VGF			அனுப்பு,V                           	-    
story100.txt	18   	வைத்தார்                                      	V_VM_VF        	I-VGF			வை,V                               	-    
story100.txt	19   	.                            	RD_PUNC        	I-VGF			&dot;,punc                         	-    

story100.txt	0    	அவற்றில்                                      	PR_PRP         	B-NP 			அவை,PN                             	-    
story100.txt	1    	தனிப்பட்ட                                     	JJ             	B-NP 			தனிப்பட்ட,ADJ                        	-    
story100.txt	2    	முழு                                             	N_NN           	I-NP 			முழு,ADJ                           	-    
story100.txt	3    	உடல்                                              	N_NN           	I-NP 			உடல்,N                              	-    
story100.txt	4    	பாதுகாப்பு                                   	N_NN           	B-NP 			பாதுகாப்பு,N                        	-    
story100.txt	5    	கவச                                              	N_NN           	I-NP 			கவசம்,N                             	-    
story100.txt	6    	உடைகள்                                            	N_NN           	I-NP 			உடை,N                              	-    
story100.txt	7    	(பி.பி.இ.)                                  	N_NNP          	B-NP 			(பி.பி.இ.),N,,,                    	-    
story100.txt	8    	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	9    	முகக்                                             	N_NN           	B-NP 			முகம்,N                             	-    
story100.txt	10   	கவச                                              	N_NN           	I-NP 			கவசம்,N                             	-    
story100.txt	11   	உறைகள்                                            	N_NN           	I-NP 			உறை,N                              	-    
story100.txt	12   	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	13   	ஈரத்தன்மை                                     	N_NN           	B-NP 			ஈரத்தன்மை,N                          	-    
story100.txt	14   	கொண்ட                                             	V_VM_VNF_RP    	B-VGNF			கொள்,V                              	-    
story100.txt	15   	திசு                                             	N_NN           	B-NP 			திசு,N                             	-    
story100.txt	16   	தாள்கள்                                            	N_NN           	I-NP 			தாள்,N                              	-    
story100.txt	17   	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	18   	உடலுக்கான                                    	JJ             	B-NP 			உடல்,N                              	-    
story100.txt	19   	உறைகள்                                            	N_NN           	I-NP 			உறை,N                              	-    
story100.txt	20   	போன்றவை                                      	N_NN           	I-NP 			போன்றவை,N                           	-    
story100.txt	21   	அதில்                                             	PR_PRP         	B-NP 			அது,PN                             	-    
story100.txt	22   	இடம்                                              	N_NN           	B-NP 			இடம்,N                              	-    
story100.txt	23   	பெற்றுள்ளன                                    	V_VM_VF        	B-VGF			பெறு,V                             	-    
story100.txt	24   	.                            	RD_PUNC        	I-VGF			&dot;,punc                         	-    

story100.txt	0    	&quot;நிகழ்ச்சியில்         	N_NN           	B-NP 			&quot;nikalYYcciyil,unk            	-    
story100.txt	1    	பங்கேற்றவர்கள்                                  	N_NN           	I-NP 			பங்கேல்,V                            	-    
story100.txt	2    	மற்றும்                                            	CC_CCD         	B-CCP			மற்றும்,CONJ                         	-    
story100.txt	3    	சர்வதேச                                      	N_NN           	B-NP 			சர்வதேச,ADJ                         	-    
story100.txt	4    	செஞ்சிலுவைச்                                  	N_NN           	I-NP 			செஞ்சிலுவை,N                        	-    
story100.txt	5    	சங்க                                              	N_NN           	I-NP 			சங்க,ADJ                            	-    
story100.txt	6    	தலைமை                                            	N_NN           	I-NP 			தலைமை,N                            	-    
story100.txt	7    	நிர்வாகிகள்                                   	N_NN           	I-NP 			நிர்வாகிகள்,N                        	-    
story100.txt	8    	மற்றும்                                            	CC_CCD         	B-CCP			மற்றும்,CONJ                         	-    
story100.txt	9    	மாநில                                            	N_NN           	B-NP 			மாநிலம்,N                           	-    
story100.txt	10   	கிளைகளில்                                    	N_NN           	I-NP 			கிளை,N                             	-    
story100.txt	11   	அலுவலர்கள்                                    	N_NN           	B-NP 			அலுவலர்,N                           	-    
story100.txt	12   	மத்தியில்                                     	PSP            	B-BLK			மத்தி,N                             	-    
story100.txt	13   	காணொலி                                      	N_NN           	B-NP 			காணொலி,N,,,                        	-    
story100.txt	14   	மூலம்                                             	PSP            	B-BLK			மூலம்,N                             	-    
story100.txt	15   	பேசிய                                            	V_VM_VNF_RP    	B-VGNF			பேசு,V                             	-    
story100.txt	16   	அமைச்சர்                                      	N_NN           	B-NP 			அமைச்சர்,N                           	(1)
story100.txt	17   	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	18   	&quot;&quot;இது          	N_NNP          	B-NP 			&quot;&quot;iwu,unk                	-    
story100.txt	19   	இந்திய                                            	N_NNP          	I-NP 			இந்திய,ADJ                          	(4
story100.txt	20   	செஞ்சிலுவைச்                                  	N_NN           	I-NP 			செஞ்சிலுவை,N                        	4
story100.txt	21   	சங்கத்துக்கு                                   	N_NN           	I-NP 			சங்கத்,N                             	4)
story100.txt	22   	முக்கியமான                                   	JJ             	B-NP 			முக்கியம்,N                          	-    
story100.txt	23   	நாள்                                              	N_NN           	I-NP 			நாள்,N                              	-    
story100.txt	24   	.                            	RD_PUNC        	I-NP 			&dot;,punc                         	-    
story100.txt	25   	&quot;                       	N_NN           	B-NP 			&quot,unk                          	-    

story100.txt	0    	100                          	QT_QTC         	B-NP 			100,num                            	-    
story100.txt	1    	ஆண்டுகால                                     	N_NN           	I-NP 			ஆண்டுகாலம்,N                         	-    
story100.txt	2    	சேவையைப்                                     	N_NN           	B-NP 			சேவை,N                             	-    
story100.txt	3    	பூர்த்தி                                      	N_NN           	B-NP 			பூர்த்தி,N                           	-    
story100.txt	4    	செய்வது                                      	V_VM_VNF_VBN   	B-VGNF			செய்,V                              	-    
story100.txt	5    	மட்டுமின்றி                                   	RP_NEG         	I-VGNF			மட்டு,N                             	-    
story100.txt	6    	,                            	RD_PUNC        	I-VGNF			&comma;,punc                       	-    
story100.txt	7    	தன்னுடைய                                     	PR_PRF         	B-NP 			தன்,PN                              	-    
story100.txt	8    	பெருமை                                      	N_NN           	I-NP 			பெருமை,N                           	-    
story100.txt	9    	மற்றும்                                            	CC_CCD         	B-CCP			மற்றும்,CONJ                         	-    
story100.txt	10   	உறுதிப்பாட்டை                             	N_NN           	B-NP 			உறுதிப்பாடு,N                       	-    
story100.txt	11   	நிலைநிறுத்தும்                            	V_VM_VNF_RP    	B-VGNF			நிலைநிறுத்து,V                      	-    
story100.txt	12   	வகையில்                                      	N_NN           	B-NP 			வகை,N                              	-    
story100.txt	13   	மருத்துவ                                     	N_NN           	B-NP 			மருத்துவம்,N                         	-    
story100.txt	14   	மற்றும்                                            	CC_CCD         	B-CCP			மற்றும்,CONJ                         	-    
story100.txt	15   	மனிதாபிமான                                  	N_NN           	B-NP 			மனிதாபிமானம்,N                      	-    
story100.txt	16   	உதவிகளை                                     	N_NN           	I-NP 			உதவி,N                             	-    
story100.txt	17   	வழங்கும்                                      	V_VM_VNF_RP    	B-VGNF			வழங்கு,V                            	-    
story100.txt	18   	நோக்கத்தை                                     	N_NN           	B-NP 			நோக்கம்,N                            	-    
story100.txt	19   	நிறைவேற்றி                                   	V_VM_VNF_VBN   	B-VGNF			நிறைவேற்று,V                        	-    
story100.txt	20   	வருகிறது&apos;           	V_VM_VNF_RP_PRP	I-VGNF			varukirYawu&apos,unk               	-    
story100.txt	21   	&apos;                       	N_NN           	B-NP 			&apos,unk                          	-    
story100.txt	22   	என்று                                             	CC_CCS         	B-CCP			என்று,UT                            	-    
story100.txt	23   	கூறினார்                                     	V_VM_VF        	B-VGF			கூறு,V                             	-    
story100.txt	24   	.                            	RD_PUNC        	I-VGF			&dot;,punc                         	-    

story100.txt	0    	&quot;&quot;&quot;யாருடைய	N_NN           	B-NP 			&quot;&quot;&quot;yArutEya,unk     	-    
story100.txt	1    	உத்தரவுக்காகவும்                           	N_NN           	I-NP 			உத்தரவு,N                           	-    
story100.txt	2    	சர்வதேச                                      	N_NN           	B-NP 			சர்வதேச,ADJ                         	(2
story100.txt	3    	செஞ்சிலுவைச்                                  	N_NN           	I-NP 			செஞ்சிலுவை,N                        	2
story100.txt	4    	சங்கம்                                             	N_NN           	I-NP 			சங்கம்,N                             	2)
story100.txt	5    	காத்திருக்காமல்                            	RP_NEG         	B-NEGP			காத்திரு,V                          	-    
story100.txt	6    	,                            	RD_PUNC        	I-NEGP			&comma;,punc                       	-    
story100.txt	7    	தானாகவே                                     	RB             	B-VGNF			தானாக,ADV                          	-    
story100.txt	8    	முடிவுசெய்து                             	V_VM_VNF_VBN   	I-VGNF			முடிவுசெய்,V                        	-    
story100.txt	9    	எந்த                                              	DM_DMQ         	B-BLK			எந்த,ADJ                            	-    
story100.txt	10   	ஒரு                                              	QT_QTC         	B-NP 			ஒரு,ADJ                            	-    
story100.txt	11   	பேரழிவு                                     	N_NN           	I-NP 			பேரழிவு,N                          	-    
story100.txt	12   	அல்லது                                            	CC_CCD         	B-CCP			அல்லது,CONJ                         	-    
story100.txt	13   	மக்களுக்கு                                    	N_NN           	B-NP 			மக்கள்,N                             	-    
story100.txt	14   	நெருக்கடியான                             	JJ             	B-NP 			நெருக்கடி,N                         	-    
story100.txt	15   	காலக்கட்டங்களில்                            	N_NN           	I-NP 			காலக்கட்டம்,N                         	-    
story100.txt	16   	உடனடி                                            	JJ             	B-NP 			உடனடி,ADV                          	-    
story100.txt	17   	உதவிகள்                                      	N_NN           	I-NP 			உதவி,N                             	-    
story100.txt	18   	தேவைப்படும்                                   	V_VM_VNF_RP    	B-VGNF			தேவைப்படு,V                         	-    
story100.txt	19   	பகுதிகளுக்கு                             	N_NN           	B-NP 			பகுதி,N                            	-    
story100.txt	20   	நிவாரணப்                                     	N_NN           	B-NP 			நிவாரணம்,N                          	-    
story100.txt	21   	பொருட்களை                                    	N_NN           	I-NP 			பொருள்,N                            	-    
story100.txt	22   	அனுப்பி                                      	V_VM_VNF_VBN   	B-VGNF			அனுப்பு,V                           	-    
story100.txt	23   	வைக்கிறது&apos;           	N_NNP          	B-NP 			vEkkirYawu&apos,unk                	-    
story100.txt	24   	&apos;                       	N_NN           	I-NP 			&apos,unk                          	-    
story100.txt	25   	என்று                                             	CC_CCS         	B-CCP			என்று,UT                            	-    
story100.txt	26   	அமைச்சர்                                      	N_NN           	B-NP 			அமைச்சர்,N                           	(1)
story100.txt	27   	தெரிவித்தார்.                             	V_VM_VF        	B-VGF			தெரிவித்தார்.,unk                    	-    
story100.txt	28   	&quot;                       	RD_PUNC        	I-VGF			&quot,unk                          	-    

story100.txt	0    	வழக்கமான                                     	JJ             	B-NP 			வழக்கம்,N                            	-    
story100.txt	1    	ரத்த                                              	N_NN           	I-NP 			ரத்த,ADJ                            	-    
story100.txt	2    	தான                                              	JJ             	B-NP 			தானம்,N                             	-    
story100.txt	3    	மையங்களின்                                    	N_NN           	I-NP 			மையம்,N                             	-    
story100.txt	4    	வளாகங்களுக்கு                             	N_NN           	B-NP 			வளாகம்,N                            	-    
story100.txt	5    	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	6    	நடமாடும்                                     	V_VM_VNF_RP    	B-VGNF			நடமாடு,V                           	-    
story100.txt	7    	ரத்த                                              	N_NN           	B-NP 			ரத்த,ADJ                            	-    
story100.txt	8    	சேகரிப்பு                                    	N_NN           	I-NP 			சேகரிப்பு,N                         	-    
story100.txt	9    	வாகனங்களை                                    	N_NN           	B-NP 			வாகனம்,N                            	-    
story100.txt	10   	அனுப்பி                                      	V_VM_VNF_VBN   	B-VGNF			அனுப்பு,V                           	-    
story100.txt	11   	,                            	RD_PUNC        	I-VGNF			&comma;,punc                       	-    
story100.txt	12   	இந்த                                              	DM_DMR         	B-NP 			இந்த,ADJ                            	-    
story100.txt	13   	காலக்கட்டத்தில்                             	N_NN           	I-NP 			காலக்கட்டம்,N                         	-    
story100.txt	14   	ரத்த                                              	N_NN           	B-NP 			ரத்த,ADJ                            	-    
story100.txt	15   	தானம்                                             	N_NN           	B-NP 			தானம்,N                             	-    
story100.txt	16   	பெறுவதை                                     	V_VM_VNF_RP_PRP	B-VGNF			பெறு,V                             	-    
story100.txt	17   	அதிகரிக்கச்                                   	V_VM_VNF_INF   	I-VGNF			அதிகரி,V                           	-    
story100.txt	18   	செய்வதில்                                     	V_VM_VNF_RP_PRP	I-VGNF			செய்,V                              	-    
story100.txt	19   	இந்திய                                            	N_NNP          	B-NP 			இந்திய,ADJ                          	(4
story100.txt	20   	செஞ்சிலுவைச்                                  	N_NN           	I-NP 			செஞ்சிலுவை,N                        	4
story100.txt	21   	சங்கம்                                             	N_NN           	I-NP 			சங்கம்,N                             	4)
story100.txt	22   	ஆற்றிய                                            	N_NN           	I-NP 			ஆற்று,V                             	-    
story100.txt	23   	சேவைகளுக்கு                                  	N_NN           	I-NP 			சேவை,N                             	-    
story100.txt	24   	டாக்டர்.ஹர்ஷ்                                   	N_NN           	B-NP 			டாக்டர்.ஹர்ஷ்,N,M,,                    	(1
story100.txt	25   	வர்த்தன்                                            	N_NN           	I-NP 			வர்த்தன்,N,M,,                        	1)
story100.txt	26   	பாராட்டு                                     	N_NN           	B-NP 			பாராட்டு,N                          	-    
story100.txt	27   	தெரிவித்தார்                                  	V_VM_VF        	B-VGF			தெரிவி,V                           	-    
story100.txt	28   	.                            	RD_PUNC        	I-VGF			&dot;,punc                         	-    

story100.txt	0    	&quot;&quot;&quot;நடமாடும்	V_VM_VNF_RP    	B-VGNF			&quot;&quot;&quot;natamAtum,unk    	-    
story100.txt	1    	ரத்த                                              	N_NN           	B-NP 			ரத்த,ADJ                            	-    
story100.txt	2    	சேகரிப்பு                                    	N_NN           	I-NP 			சேகரிப்பு,N                         	-    
story100.txt	3    	வசதி                                             	N_NN           	I-NP 			வசதி,N                             	-    
story100.txt	4    	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	5    	ரத்த                                              	N_NN           	B-NP 			ரத்த,ADJ                            	-    
story100.txt	6    	தானம்                                             	N_NN           	B-NP 			தானம்,N                             	-    
story100.txt	7    	செய்பவர்களை                                   	V_VM_VNF_RP_PRP	B-VGNF			செய்,V                              	-    
story100.txt	8    	அழைத்து                                      	V_VM_VNF_VBN   	I-VGNF			அழை,V                              	-    
story100.txt	9    	வருதல்                                            	V_VM_VNG       	B-NP 			வா,V                               	-    
story100.txt	10   	மற்றும்                                            	CC_CCD         	B-CCP			மற்றும்,CONJ                         	-    
story100.txt	11   	கொண்டு                                            	V_VM_VNF_VBN   	B-VGNF			கொள்,V                              	-    
story100.txt	12   	போய்                                              	V_VM_VNF_VBN   	I-VGNF			போ,V                               	-    
story100.txt	13   	விடுதல்                                      	N_NN           	B-NP 			விடு,V                             	-    
story100.txt	14   	வசதி                                             	N_NN           	I-NP 			வசதி,N                             	-    
story100.txt	15   	போன்ற                                             	PSP            	B-BLK			போன்ற,ADJ                           	-    
story100.txt	16   	செயல்பாடுகள்                                  	N_NN           	B-NP 			செயல்பாடு,N                         	-    
story100.txt	17   	மூலம்                                             	PSP            	B-BLK			மூலம்,N                             	-    
story100.txt	18   	,                            	RD_PUNC        	I-BLK			&comma;,punc                       	-    
story100.txt	19   	சர்வதேச                                      	N_NN           	B-NP 			சர்வதேச,ADJ                         	(2
story100.txt	20   	செஞ்சிலுவைச்                                  	N_NN           	I-NP 			செஞ்சிலுவை,N                        	2
story100.txt	21   	சங்கம்                                             	N_NN           	I-NP 			சங்கம்,N                             	2)
story100.txt	22   	மகத்தான                                      	JJ             	B-NP 			மகத்தான,ADJ                         	-    
story100.txt	23   	சேவைகளைச்                                    	N_NN           	I-NP 			சேவை,N                             	-    
story100.txt	24   	செய்து                                            	V_VM_VNF_VBN   	B-VGF			செய்,V                              	-    
story100.txt	25   	வருகிறது.                                   	V_VM_VF        	I-VGF			வருகிறது.,unk                      	-    
story100.txt	26   	&quot;                       	N_NN           	B-NP 			&quot,unk                          	-    

story100.txt	0    	உயிருக்குப்                                   	N_NN           	B-NP 			உயிர்,N                             	-    
story100.txt	1    	போராடிவரும்                                  	N_NN           	B-NP 			போராடு,V                           	-    
story100.txt	2    	நோயாளிகளுக்கும்                           	N_NN           	I-NP 			நோயாளி,N                           	-    
story100.txt	3    	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	4    	ரத்த                                              	N_NN           	B-NP 			ரத்த,ADJ                            	-    
story100.txt	5    	அணு                                              	N_NN           	I-NP 			அணு,N                              	-    
story100.txt	6    	அழிவு                                            	N_NN           	I-NP 			அழிவு,N                            	-    
story100.txt	7    	சோகை                                             	N_NN           	B-NP 			சோகை,N                             	-    
story100.txt	8    	உள்ளவர்களுக்கும்                            	V_VM_VF        	B-VGF			உள்,V                               	-    
story100.txt	9    	,                            	RD_PUNC        	I-VGF			&comma;,punc                       	-    
story100.txt	10   	ரத்தம்                                             	N_NN           	B-NP 			ரத்தம்,N                             	-    
story100.txt	11   	தொடர்பான                                     	JJ             	B-NP 			தொடர்பு,N                           	-    
story100.txt	12   	கோளாறு                                      	N_NN           	I-NP 			கோளாறு,N                           	-    
story100.txt	13   	உள்ளவர்களுக்கும்                            	V_VM_VF        	B-VGF			உள்,V                               	-    
story100.txt	14   	,                            	RD_PUNC        	I-VGF			&comma;,punc                       	-    
story100.txt	15   	கடினமான                                     	JJ             	B-NP 			கடினம்,N                            	-    
story100.txt	16   	இந்த                                              	DM_DMR         	I-NP 			இந்த,ADJ                            	-    
story100.txt	17   	காலக்கட்டத்தில்                             	N_NN           	I-NP 			காலக்கட்டம்,N                         	-    
story100.txt	18   	ரத்தம்                                             	N_NN           	B-NP 			ரத்தம்,N                             	-    
story100.txt	19   	அளிக்க                                            	V_VM_VNF_INF   	B-VGNF			அளி,V                              	-    
story100.txt	20   	ஏற்பாடு                                      	N_NN           	B-NP 			ஏற்பாடு,N                           	-    
story100.txt	21   	செய்வதன்                                      	V_VM_VNF_RP_PRP	B-VGNF			செய்,V                              	-    
story100.txt	22   	மூலம்                                             	PSP            	B-BLK			மூலம்,N                             	-    
story100.txt	23   	,                            	RD_PUNC        	I-BLK			&comma;,punc                       	-    
story100.txt	24   	மற்ற                                              	JJ             	B-NP 			மற்ற,ADJ                            	-    
story100.txt	25   	தன்னார்வ                                      	PR_PRF         	I-NP 			தன்னார்வம்,N                          	-    
story100.txt	26   	அமைப்புகளுக்கு                            	N_NN           	I-NP 			அமைப்பு,N                           	-    
story100.txt	27   	ஒரு                                              	QT_QTC         	B-NP 			ஒரு,ADJ                            	-    
story100.txt	28   	முன்னுதாரணமாக                            	RB             	B-VGF			முன்னுதாரணம்,N                       	-    
story100.txt	29   	இருக்கிறது&apos;          	V_VM_VF        	I-VGF			irukkirYawu&apos,unk               	-    
story100.txt	30   	&apos;                       	N_NN           	B-NP 			&apos,unk                          	-    
story100.txt	31   	என்று                                             	CC_CCS         	B-CCP			என்று,UT                            	-    
story100.txt	32   	அமைச்சர்                                      	N_NN           	B-NP 			அமைச்சர்,N                           	(1)
story100.txt	33   	கூறினார்                                     	V_VM_VF        	B-VGF			கூறு,V                             	-    
story100.txt	34   	.                            	RD_PUNC        	I-VGF			&dot;,punc                         	-    

story100.txt	0    	கொரோனா                                      	N_NNP          	B-NP 			கொரோனா,N,,,                        	-    
story100.txt	1    	நோய்க்கு                                      	N_NN           	I-NP 			நோய்,N                              	-    
story100.txt	2    	எதிராகப்                                     	RB             	B-VGNF			எதிர்,N                             	-    
story100.txt	3    	போராடிவரும்                                  	V_VM_VNF_RP    	I-VGNF			போராடு,V                           	-    
story100.txt	4    	டாக்டர்கள்                                     	N_NN           	B-NP 			டாக்டர்,N                            	-    
story100.txt	5    	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	6    	சுகாதார                                     	N_NN           	B-NP 			சுகாதார,ADJ                        	-    
story100.txt	7    	அலுவலர்கள்                                    	N_NN           	I-NP 			அலுவலர்,N                           	-    
story100.txt	8    	உள்ளிட்டோர்                                    	N_NN           	B-NP 			உள்ளிட்டோர்,N                         	-    
story100.txt	9    	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
story100.txt	10   	நோயாளிகள்                                    	N_NN           	B-NP 			நோயாளி,N                           	-    
story100.txt	11   	ஆகியோரை                                     	N_NN           	I-NP 			ஆகியோர்,N                           	-    
story100.txt	12   	சமூகத்தில்                                    	N_NN           	B-NP 			சமூகம்,N                            	-    
story100.txt	13   	ஒதுக்கிவிடாமல்                            	RP_NEG         	B-NEGP			ஒதுக்கிவிடாமல்,NEG,,,                	-    
story100.txt	14   	இருக்கவும்                                    	V_VM_VNF_INF   	B-VGNF			இரு,V                              	-    
story100.txt	15   	,                            	RD_PUNC        	I-VGNF			&comma;,punc                       	-    
story100.txt	16   	அவர்களுடன்                                    	PR_PRP         	B-NP 			அவர்,PN                             	-    
story100.txt	17   	பணியாற்றுவதற்கு                           	V_VM_VNF_RP_PRP	B-VGNF			பணியாற்று,V                         	-    
story100.txt	18   	உகந்த                                             	JJ             	B-NP 			உகந்த,ADJ                           	-    
story100.txt	19   	சூழ்நிலையை                                   	N_NN           	I-NP 			சூழ்நிலை,N                          	-    
story100.txt	20   	உருவாக்கவும்                                  	RB             	B-RBP			உருவாக்கு,V                         	-    
story100.txt	21   	விழிப்புணர்வு                             	N_NN           	B-NP 			விழிப்புணர்வு,N                      	-    
story100.txt	22   	ஏற்படுத்த                                     	V_VM_VNF_INF   	B-VGNF			ஏற்படுத்து,V                         	-    
story100.txt	23   	வேண்டும்                                      	V_VM_VF        	I-VGNF			வேண்டும்,V                           	-    
story100.txt	24   	என்றும்                                            	CC_CCS         	B-CCP			என்றும்,ADV                          	-    
story100.txt	25   	அமைச்சர்                                      	N_NN           	B-NP 			அமைச்சர்,N                           	(1)
story100.txt	26   	கேட்டுக்கொண்டார்                            	V_VM_VF        	B-VGF			கேட்டுக்கொள்,V                        	-    
story100.txt	27   	.                            	RD_PUNC        	I-VGF			&dot;,punc                         	-    

#end document
#begin document (story101.txt); part 000
story101.txt	tok_No	Token				POS		Anaphora     Coreference
story101.txt	0    	தமிழ்நாடு                                    	N_NNP          	B-NP 			தமிழ்நாடு,N                         	(4)
story101.txt	1    	,                            	RD_PUNC        	I-NP 			&comma;,punc                       	-    
