#begin document (story100.txt); part 000
story100.txt	tok_No	Token			POS			Coreference
story100.txt	5    	ರಚಿಸಲಾದ                              	V__VM__VNG     	B-VGNN  			ರಚಿಸು,v                         	-     
story100.txt	6    	ಯಾವುದೇ                                	PR__PRI        	B-NP    			ಯಾವುದೇ,pn                        	-     
story100.txt	7    	ವಿಶ್ವವಿದ್ಯಾಲಯ                      	N__NN          	B-NP    			ವಿಶ್ವವಿದ್ಯಾಲಯ,n                    	(2)
story100.txt	8    	ಮತ್ತು                                	CC__CCD        	B-CCP   			ಮತ್ತು,avy                       	-     
story100.txt	9    	ಅದರ                                	PR__PRP        	B-NP    			ಅದು,pn                         	(2)
story100.txt	10   	ಘಟಕ                                	JJ             	B-NP    			ಘಟಿಸು,adj                       	-     
story100.txt	11   	ಕಾಲೇಜುಗಳಿಗೆ                        	N__NN          	I-NP    			ಕಾಲೇಜು,n                         	-     
story100.txt	12   	ನೀಟ್                                 	N__NN          	B-NP    			ನೀಟ್,n                          	-     
story100.txt	13   	ಅನ್ನು                                	PSP            	I-NP    			ಅನ್ನು,psp                       	-     
story100.txt	14   	ಕಡ್ಡಾಯಗೊಳಿಸಲು                      	V__VM__VINF    	B-VGINF 			ಕಡ್ಡಾಯಗೊಳ್ಳು,v                     	-     
story100.txt	15   	ಸಾಧ್ಯವಿಲ್ಲ                        	V__VM__VF      	B-VGF   			ಸಾಧ್ಯ,v                         	-     
story100.txt	16   	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	ಇದು                                 	DM__DMD        	B-NP    			ಇದು,pn                         	-     
story100.txt	1    	ಸಂವಿಧಾನದ                              	N__NN          	I-NP    			ಸಂವಿಧಾನ,n                        	-     
story100.txt	2    	ಕಾರ್ಯಸೂಚಿ                              	N__NN          	B-NP    			ಕಾರ್ಯಸೂಚಿ,n                       	-     
story100.txt	3    	ಎಂದು                                 	CC__CCS        	B-CCP   			ಎಂದು,avy                        	-     
story100.txt	4    	ತೋರುತ್ತದೆ                              	V__VM__VF      	B-VGF   			ತೋರು,v                          	-     
story100.txt	5    	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	8.4.3               	QT__QTC        	B-JJP   			8.4.3,num                     	-     
story100.txt	1    	ತಮಿಳುನಾಡು                              	N__NNP         	B-NP    			ತಮಿಳುನಾಡು,n                       	-     
story100.txt	2    	ಸರ್ಕಾರವು                              	N__NN          	I-NP    			ಸರ್ಕಾರ,n                        	-     
story100.txt	3    	2007                	QT__QTC        	B-NP    			2007,num                      	-     
story100.txt	4    	ರ                                  	PSP            	I-NP    			ರ,psp                         	-     
story100.txt	5    	ಅಧಿನಿಯಮ                              	N__NN          	B-NP    			ಅಧಿನಿಯಮ,n                       	-     
story100.txt	6    	3                   	QT__QTC        	I-NP    			3,num                         	-     
story100.txt	7    	ಅನ್ನು                                	PSP            	I-NP    			ಅನ್ನು,psp                       	-     
story100.txt	8    	ಅಧಿಸೂಚನೆಯ                        	N__NN          	B-NP    			ಅಧಿಸೂಚನೆ,n                       	-     
story100.txt	9    	ಮೂಲಕ                                	RP__RPD        	I-NP    			ಮೂಲಕ,avy                       	-     
story100.txt	10   	ನಿಯಂತ್ರಿಸಲು                        	V__VM__VINF    	B-VGINF 			ನಿಯಂತ್ರಿಸು,v                       	-     
story100.txt	11   	ಸಾಧ್ಯವಿಲ್ಲ                        	V__VM__VF      	B-VGF   			ಸಾಧ್ಯ,v                         	-     
story100.txt	12   	ಮತ್ತು                                	CC__CCD        	B-CCP   			ಮತ್ತು,avy                       	-     
story100.txt	13   	2013                	QT__QTC        	B-NP    			2013,num                      	-     
story100.txt	14   	ರ                                  	PSP            	I-NP    			ರ,psp                         	-     
story100.txt	15   	ತೀರ್ಪನ್ನು                              	N__NNV         	B-NP    			ತೀರು,n                          	-     
story100.txt	16   	ತಿದ್ದುಪಡಿ                              	N__NN          	B-NP    			ತಿದ್ದುಪಡಿ,n                       	-     
story100.txt	17   	ಮಾಡಿದಾಗ                               	V__VM__VNF     	B-VGNF  			ಮಾಡು,v                          	-     
story100.txt	18   	11.4.2016           	N__NNP         	B-NP    			11.4.2016,n                   	-     
story100.txt	19   	ರ                                  	PSP            	I-NP    			ರ,psp                         	-     
story100.txt	20   	ನಂತರ                                	N__NST         	I-NP    			ನಂತರ,nst                       	-     
story100.txt	21   	ಬೇರೆ                                 	N__NN          	B-NP    			ಬೇರೆ,n                          	-     
story100.txt	22   	ಯಾವುದೇ                                	PR__PRI        	B-NP    			ಯಾವುದೇ,pn                        	-     
story100.txt	23   	ಅಧಿಸೂಚನೆಯನ್ನು                      	N__NN          	B-NP    			ಅಧಿಸೂಚನೆ,n                       	-     
story100.txt	24   	ಹೊರಡಿಸಲಾಗಿಲ್ಲ                      	V__VM__VF      	B-VGF   			ಹೊರಡಿಸಲಾಗು,v                      	-     
story100.txt	25   	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	24-5-2016           	N__NNP         	B-NP    			24-5-2016,n                   	-     
story100.txt	1    	ರಂದು                                 	PSP            	I-NP    			ರಂದು,psp                        	-     
story100.txt	2    	ಮಾತ್ರ                                	RP__RPD        	I-NP    			ಮಾತ್ರ,avy                       	-     
story100.txt	3    	ತಡೆಹಿಡಿಯಲಾದ                       	V__VM__VNG     	B-VGNN  			ತಡೆಹಿಡಿ,v                        	-     
story100.txt	4    	ಭಾರತೀಯ                               	N__NNP         	B-NP    			ಭಾರತ,n                         	-     
story100.txt	5    	ವೈದ್ಯಕೀಯ                              	JJ             	I-NP    			ವೈದ್ಯ,adj                       	-     
story100.txt	6    	ಮಂಡಳಿ                                	N__NNP         	I-NP    			ಮಂಡಳಿ,n                         	-     
story100.txt	7    	ಕಾಯ್ದೆ                                	N__NN          	I-NP    			ಕಾಯ್ದೆ,n                         	-     
story100.txt	8    	,                   	RD__PUNC       	I-NP    			COMMA,punc                    	-     
story100.txt	9    	1956                	QT__QTC        	B-NP    			1956,num                      	-     
story100.txt	10   	ರ                                  	PSP            	I-NP    			ರ,psp                         	-     
story100.txt	11   	ಸೆಕ್ಷನ್                               	N__NN          	B-NP    			ಸೆಕ್ಷನ್,n                        	-     
story100.txt	12   	10                  	QT__QTC        	B-NP    			10,num                        	-     
story100.txt	13   	(ಇ                                 	N__NN          	I-NP    			ಇ,n                           	-     
story100.txt	14   	)                   	RD__SYM        	I-NP    			!,punc                        	-     
story100.txt	15   	ಅನ್ನು                                	PSP            	I-NP    			ಅನ್ನು,psp                       	-     
story100.txt	16   	ಕಾನೂನುಬದ್ಧವೆಂದು                      	RB             	B-RBP   			ಕಾನೂನುಬದ್ಧವೆಂದು,adv                  	-     
story100.txt	17   	ಪರಿಗಣಿಸಲಾಗುವುದಿಲ್ಲ                   	V__VM__VF      	B-VGF   			ಪರಿಗಣಿಸು,v                       	-     
story100.txt	18   	,                   	RD__PUNC       	I-VGF   			COMMA,punc                    	-     
story100.txt	19   	ಏಕೆಂದರೆ                               	CC__CCS        	B-CCP   			ಏಕೆಂದರೆ,avy                      	-     
story100.txt	20   	ಆ                                  	DM__DMD        	B-NP    			ಆ,pn                          	-     
story100.txt	21   	ವರ್ಷದಲ್ಲಿ                        	N__NN          	I-NP    			ವರ್ಷ,n                         	-     
story100.txt	22   	ನಡೆಸಲಾದ                              	V__VM__VNG     	B-VGNN  			ನಡೆ,v                          	-     
story100.txt	23   	ನೀಟ್                                 	N__NN          	B-NP    			ನೀಟ್,n                          	-     
story100.txt	24   	ಪರೀಕ್ಷೆಯನ್ನು                       	N__NN          	B-NP    			ಪರೀಕ್ಷೆ,n                        	-     
story100.txt	25   	ಕಾನೂನುಬದ್ಧವೆಂದು                      	RB             	B-RBP   			ಕಾನೂನುಬದ್ಧವೆಂದು,adv                  	-     
story100.txt	26   	ಪರಿಗಣಿಸಲಾಗುವುದಿಲ್ಲ                   	V__VM__VF      	B-VGF   			ಪರಿಗಣಿಸು,v                       	-     
story100.txt	27   	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	&quot;8.5           	QT__QTC        	B-NP    			8.5,num                       	-     
story100.txt	1    	ಭಾರತೀಯ                               	JJ             	I-NP    			ಭಾರತ,adj                       	-     
story100.txt	2    	ವೈದ್ಯಕೀಯ                              	JJ             	I-NP    			ವೈದ್ಯ,adj                       	-     
story100.txt	3    	ಮಂಡಳಿ                                	N__NN          	I-NP    			ಮಂಡಳಿ,n                         	-     
story100.txt	4    	ಕಾಯ್ದೆಯ                               	N__NN          	B-NP    			ಕಾಯ್ದೆ,n                         	-     
story100.txt	5    	ಸೆಕ್ಷನ್                               	N__NN          	I-NP    			ಸೆಕ್ಷನ್,n                        	-     
story100.txt	6    	10                  	QT__QTC        	B-NP    			10,num                        	-     
story100.txt	7    	(ಡಿ                                 	N__NN          	I-NP    			ಡಿ,n                           	-     
story100.txt	8    	)                   	RD__SYM        	I-NP    			!,punc                        	-     
story100.txt	9    	ರ                                  	N__NN          	B-NP    			ರ,n                           	-     
story100.txt	10   	ಸಾಂವಿಧಾನಿಕ                              	JJ             	B-NP    			ಸಂವಿಧಾನ,adj                      	-     
story100.txt	11   	ಸಿಂಧುತ್ವವನ್ನು                       	N__NN          	I-NP    			ಸಿಂಧುತ್ವ,n                        	-     
story100.txt	12   	ವಿಧಿಸಲಾಗುವುದಿಲ್ಲ&quot;&quot;	V__VM__VF      	B-VGF   			ವಿಧಿಸಲಾಗು,v                       	-     
story100.txt	13   	&quot;              	RD__SYM        	B-BLK   			!,punc                        	-     

story100.txt	0    	25-4-2016           	N__NNP         	B-NP    			25-4-2016,n                   	-     
story100.txt	1    	ರಂದು                                 	PSP            	I-NP    			ರಂದು,psp                        	-     
story100.txt	2    	ನಡೆಸಲಾದ                              	V__VM__VNG     	B-VGNN  			ನಡೆ,v                          	-     
story100.txt	3    	ಭಾರತೀಯ                               	N__NNP         	B-NP    			ಭಾರತ,n                         	-     
story100.txt	4    	ವೈದ್ಯಕೀಯ                              	N__NNP         	I-NP    			ವೈದ್ಯ,n                         	-     
story100.txt	5    	ಮಂಡಳಿ                                	N__NNP         	I-NP    			ಮಂಡಳಿ,n                         	-     
story100.txt	6    	ಕಾಯ್ದೆ                                	N__NN          	I-NP    			ಕಾಯ್ದೆ,n                         	-     
story100.txt	7    	,                   	RD__PUNC       	I-NP    			COMMA,punc                    	-     
story100.txt	8    	2016                	QT__QTC        	B-NP    			2016,num                      	-     
story100.txt	9    	ರಲ್ಲಿ                                	PSP            	I-NP    			ರಲ್ಲಿ,psp                       	-     
story100.txt	10   	ಅನುಚ್ಛೇದ                              	N__NN          	B-NP    			ಅನುಚ್ಛೇದ,n                       	-     
story100.txt	11   	10                  	QT__QTC        	B-NP    			10,num                        	-     
story100.txt	12   	(ಡಿ                                 	N__NNP         	I-NP    			ಡಿ,n                           	-     
story100.txt	13   	)                   	RD__SYM        	I-NP    			!,punc                        	-     
story100.txt	14   	ಮತ್ತು                                	CC__CCD        	B-CCP   			ಮತ್ತು,avy                       	-     
story100.txt	15   	33                  	QT__QTC        	B-NP    			33,num                        	-     
story100.txt	16   	(ಎಂಬಿ                                	N__NNP         	I-NP    			ಎಂಬು,n                          	-     
story100.txt	17   	)                   	RD__SYM        	I-NP    			!,punc                        	-     
story100.txt	18   	ಗಳನ್ನು                               	PSP            	I-NP    			ಗಳನ್ನು,psp                      	-     
story100.txt	19   	ಸೇರಿಸಿರುವುದು                        	V__VM__VNG     	B-VGNN  			ಸೇರು,v                          	-     
story100.txt	20   	ಸಂವಿಧಾನದ                              	N__NN          	B-NP    			ಸಂವಿಧಾನ,n                        	-     
story100.txt	21   	ಅಧಿಕಾರದ                              	N__NN          	B-NP    			ಅಧಿಕಾರ,n                        	-     
story100.txt	22   	ಉಲ್ಲಂಘನೆಯಾಗಿದೆ                      	N__NN          	B-NP    			ಉಲ್ಲಂಘನೆಯಾಗಿದೆ,n                    	-     
story100.txt	23   	ಮತ್ತು                                	CC__CCD        	B-CCP   			ಮತ್ತು,avy                       	-     
story100.txt	24   	ಅದರ                                	PR__PRP        	B-NP    			ಅದು,pn                         	-     
story100.txt	25   	ಸಿಂಧುತ್ವ                               	N__NN          	B-NP    			ಸಿಂಧು,n                          	-     
story100.txt	26   	/                   	RD__SYM        	I-NP    			SLASH,punc                    	-     
story100.txt	27   	ಸಿಂಧುತ್ವದ                              	N__NN          	I-NP    			ಸಿಂಧು,n                          	-     
story100.txt	28   	ಬಗ್ಗೆ                                	RP__RPD        	I-NP    			ಬಗ್ಗೆ,avy                       	-     
story100.txt	29   	ಪ್ರಶ್ನೆಗಳನ್ನು                      	N__NN          	B-NP    			ಪ್ರಶ್ನೆ,n                        	-     
story100.txt	30   	ಎತ್ತಬೇಕಾಗಿತ್ತು                      	V__VM__VF      	B-VGF   			ಎತ್ತಬೇಕಾಗು,v                      	-     
story100.txt	31   	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	ಆದರೆ                                	CC__CCS        	B-CCP   			ಆದರೆ,avy                       	-     
story100.txt	1    	ತಿದ್ದುಪಡಿಯ                        	N__NN          	B-NP    			ತಿದ್ದುಪಡಿ,n                       	-     
story100.txt	2    	ಸಾಂವಿಧಾನಿಕ                              	JJ             	B-NP    			ಸಂವಿಧಾನ,adj                      	-     
story100.txt	3    	ಕಾರ್ಯಸಾಧ್ಯತೆಯನ್ನು                    	N__NN          	I-NP    			ಕಾರ್ಯಸಾಧ್ಯತೆ,n                     	-     
story100.txt	4    	ಇಲ್ಲಿಯವರೆಗೆ                       	N__NST         	I-NP    			ಇಲ್ಲಿ,nst                       	-     
story100.txt	5    	ಯಾರೂ                                 	PR__PRQ        	B-NP    			ಯಾರು,pn                         	-     
story100.txt	6    	ಪ್ರಶ್ನಿಸಿಲ್ಲ                       	V__VM__VF      	B-VGF   			ಪ್ರಶ್ನಿಸು,v                       	-     
story100.txt	7    	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	ವಾಸ್ತವವಾಗಿ                        	N__NN          	B-NP    			ವಾಸ್ತವ,n                        	-     
story100.txt	1    	,                   	RD__PUNC       	I-NP    			COMMA,punc                    	-     
story100.txt	2    	ತಮಿಳುನಾಡು                              	N__NNP         	B-NP    			ತಮಿಳುನಾಡು,n                       	-     
story100.txt	3    	ಸರ್ಕಾರವು                              	N__NN          	I-NP    			ಸರ್ಕಾರ,n                        	-     
story100.txt	4    	ಈ                                  	DM__DMD        	B-NP    			ಈ,pn                          	-     
story100.txt	5    	ತಿದ್ದುಪಡಿಗಳನ್ನು                     	N__NN          	I-NP    			ತಿದ್ದುಪಡಿ,n                       	-     
story100.txt	6    	ಪ್ರಶ್ನಿಸಿ                              	V__VM__VNF     	B-VGNF  			ಪ್ರಶ್ನಿಸು,v                       	-     
story100.txt	7    	ಗೌರವಾನ್ವಿತ                        	JJ             	B-NP    			ಗೌರವಾನ್ವಿಸು,adj                    	-     
story100.txt	8    	ಸರ್ವೋಚ್ಚ                              	JJ             	I-NP    			ಸರ್ವೋಚ್ಚ,adj                     	-     
story100.txt	9    	ನ್ಯಾಯಾಲಯದಲ್ಲಿ                      	N__NN          	I-NP    			ನ್ಯಾಯಾಲಯ,n                       	-     
story100.txt	10   	ರಿಟ್                                 	JJ             	B-NP    			ರಿಟ್,adj                        	-     
story100.txt	11   	ಅರ್ಜಿಯನ್ನು                        	N__NN          	I-NP    			ಅರ್ಜಿ,n                         	-     
story100.txt	12   	ಸಲ್ಲಿಸಿತು                              	V__VM__VF      	B-VGF   			ಸಲ್ಲು,v                         	-     
story100.txt	13   	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	ಆದರೆ                                	CC__CCS        	B-CCP   			ಆದರೆ,avy                       	-     
story100.txt	1    	ಕೆಲವು                                	QT__QTF        	B-NP    			ಕೆಲವು,adj                       	-     
story100.txt	2    	ತಿದ್ದುಪಡಿಗಳನ್ನು                     	N__NN          	I-NP    			ತಿದ್ದುಪಡಿ,n                       	-     
story100.txt	3    	ಮಾಡುವಂತೆ                               	V__VM__VNF     	B-VGNF  			ಮಾಡು,v                          	-     
story100.txt	4    	ಕೋರಿ                                 	JJ             	B-NP    			ಕೋರು,adj                        	-     
story100.txt	5    	ಅರ್ಜಿಯನ್ನು                        	N__NN          	I-NP    			ಅರ್ಜಿ,n                         	-     
story100.txt	6    	ಹಿಂದಿರುಗಿಸಲಾಯಿತು                      	V__VM__VF      	B-VGF   			ಹಿಂದಿರುಗಿಸಲಾಗು,v                     	-     
story100.txt	7    	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	ನಂತರ                                	N__NST         	B-NP    			ನಂತರ,nst                       	-     
story100.txt	1    	ಮತ್ತೆ                                	CC__CCD        	B-CCP   			ಮತ್ತೆ,avy                       	-     
story100.txt	2    	ನ್ಯಾಯಾಲಯದಲ್ಲಿ                      	N__NN          	B-NP    			ನ್ಯಾಯಾಲಯ,n                       	-     
story100.txt	3    	ಅರ್ಜಿಯನ್ನು                        	N__NN          	B-NP    			ಅರ್ಜಿ,n                         	-     
story100.txt	4    	ಸಲ್ಲಿಸಲಿಲ್ಲ                       	V__VM__VF      	B-VGF   			ಸಲ್ಲು,v                         	-     
story100.txt	5    	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	ವಿಷಯವು                               	N__NN          	B-NP    			ವಿಷಯ,n                         	-     
story100.txt	1    	ಹಾಗೆಯೇ                                	CC__CCS        	B-CCP   			ಹಾಗೆಯೇ,avy                       	-     
story100.txt	2    	ನಿಂತುಹೋಯಿತು                              	N__NN          	B-NP    			ನಿಂತುಹೋಗು,n                        	-     
story100.txt	3    	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	&quot;8.6           	QT__QTC        	B-JJP   			8.6,num                       	-     
story100.txt	1    	ಕಾನೂನು                                	N__NN          	B-NP    			ಕಾನೂನು,n                         	-     
story100.txt	2    	ಅಧಿಕಾರವಿಲ್ಲದೆ                      	N__NN          	I-NP    			ಅಧಿಕಾರವಿಲ್ಲದೆ,n                    	-     
story100.txt	3    	ಅಧಿಸೂಚನೆಗಳು                       	N__NN          	B-NP    			ಅಧಿಸೂಚನೆ,n                       	-     
story100.txt	4    	ಮಾನ್ಯವಾಗಿರುವುದಿಲ್ಲ&quot;&quot;	V__VM__VF      	B-VGF   			ಮಾನ್ಯವಾಗು,v                       	-     
story100.txt	5    	&quot;              	RD__SYM        	B-BLK   			!,punc                        	-     

story100.txt	0    	24.5.2016           	N__NNP         	B-NP    			24.5.2016,n                   	-     
story100.txt	1    	ರಂದು                                 	PSP            	I-NP    			ರಂದು,psp                        	-     
story100.txt	2    	ಭಾರತೀಯ                               	JJ             	B-NP    			ಭಾರತ,adj                       	-     
story100.txt	3    	ವೈದ್ಯಕೀಯ                              	JJ             	I-NP    			ವೈದ್ಯ,adj                       	-     
story100.txt	4    	ಸಂಘ                                 	N__NN          	I-NP    			ಸಂಘ,n                          	-     
story100.txt	5    	ಕಾಯ್ದೆಗೆ                               	N__NN          	B-NP    			ಕಾಯ್ದೆ,n                         	-     
story100.txt	6    	ಮಾಡಿದ                                	V__VM__VNG     	B-VGNN  			ಮಾಡು,v                          	-     
story100.txt	7    	ತಿದ್ದುಪಡಿಗಳಿಂದ                      	N__NN          	B-NP    			ತಿದ್ದುಪಡಿ,n                       	-     
story100.txt	8    	ಸಂಯೋಜಿಸಲ್ಪಟ್ಟ                      	V__VM__VNG     	B-VGNN  			ಸಂಯೋಜಿಸು,v                        	-     
story100.txt	9    	ಸೆಕ್ಷನ್                               	N__NN          	B-NP    			ಸೆಕ್ಷನ್,n                        	-     
story100.txt	10   	10                  	QT__QTC        	B-NP    			10,num                        	-     
story100.txt	11   	(ಡಿ                                 	N__NNP         	I-NP    			ಡಿ,n                           	-     
story100.txt	12   	)                   	RD__SYM        	I-NP    			!,punc                        	-     
story100.txt	13   	ಮತ್ತು                                	CC__CCD        	B-CCP   			ಮತ್ತು,avy                       	-     
story100.txt	14   	33                  	QT__QTC        	B-NP    			33,num                        	-     
story100.txt	15   	(ಎಂಬಿ                                	N__NNP         	I-NP    			ಎಂಬು,n                          	-     
story100.txt	16   	)                   	RD__SYM        	I-NP    			!,punc                        	-     
story100.txt	17   	2012                	QT__QTC        	B-NP    			2012,num                      	-     
story100.txt	18   	ರಲ್ಲಿ                                	PSP            	I-NP    			ರಲ್ಲಿ,psp                       	-     
story100.txt	19   	ಹೊರಡಿಸಿದ                              	V__VM__VNG     	B-VGNN  			ಹೊರಡು,v                         	-     
story100.txt	20   	ಅಧಿಸೂಚನೆಗೆ                        	N__NN          	B-NP    			ಅಧಿಸೂಚನೆ,n                       	-     
story100.txt	21   	ಯಾವುದೇ                                	PR__PRI        	B-NP    			ಯಾವುದೇ,pn                        	-     
story100.txt	22   	ಪೂರ್ವ-ದಿನಾಂಕದ                      	JJ             	B-NP    			ಪೂರ್ವ-ದಿನಾಂಕ,adj                   	-     
story100.txt	23   	ಕಾನೂನು                                	N__NN          	I-NP    			ಕಾನೂನು,n                         	-     
story100.txt	24   	ಪುರಾವೆಗಳನ್ನು                       	N__NN          	B-NP    			ಪುರಾವೆ,n                         	-     
story100.txt	25   	ಒದಗಿಸುವುದಿಲ್ಲ                      	V__VM__VF      	B-VGF   			ಒದಗು,v                         	-     
story100.txt	26   	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	&quot;ಆದರೆ           	CC__CCD        	B-CCP   			ಆದರೆ,avy                       	-     
story100.txt	1    	ಜನವರಿ                               	N__NNP         	B-NP    			ಜನವರಿ,n                        	-     
story100.txt	2    	22                  	QT__QTC        	I-NP    			22,num                        	-     
story100.txt	3    	,                   	RD__PUNC       	I-NP    			COMMA,punc                    	-     
story100.txt	4    	2018                	QT__QTC        	B-NP    			2018,num                      	-     
story100.txt	5    	ರಂದು                                 	PSP            	I-NP    			ರಂದು,psp                        	-     
story100.txt	6    	ಹೊರಡಿಸಿದ                              	V__VM__VNG     	B-VGNN  			ಹೊರಡು,v                         	-     
story100.txt	7    	ಭಾರತೀಯ                               	N__NNP         	B-NP    			ಭಾರತ,n                         	-     
story100.txt	8    	ವೈದ್ಯಕೀಯ                              	N__NNP         	I-NP    			ವೈದ್ಯ,n                         	-     
story100.txt	9    	ಮಂಡಳಿಯ                               	N__NNP         	I-NP    			ಮಂಡಳಿ,n                         	-     
story100.txt	10   	ತಿದ್ದುಪಡಿ                              	JJ             	B-NP    			ತಿದ್ದುಪಡಿ,adj                     	-     
story100.txt	11   	ಅಧಿಸೂಚನೆಯ                        	N__NN          	I-NP    			ಅಧಿಸೂಚನೆ,n                       	-     
story100.txt	12   	ಪ್ಯಾರಾ                                	N__NNP         	B-NP    			ಪ್ಯಾರಾ,n                         	-     
story100.txt	13   	1                   	QT__QTC        	I-NP    			1,num                         	-     
story100.txt	14   	ರಲ್ಲಿ                                	PSP            	I-NP    			ರಲ್ಲಿ,psp                       	-     
story100.txt	15   	-                   	RD__SYM        	I-NP    			-,punc                        	-     
story100.txt	16   	ಪೀಠಿಕೆ                                	N__NNP         	B-NP    			ಪೀಠಿಕೆ,n                         	-     
story100.txt	17   	-                   	RD__SYM        	I-NP    			-,punc                        	-     
story100.txt	18   	ಪ್ಯಾರಾ                                	N__NNP         	I-NP    			ಪ್ಯಾರಾ,n                         	-     
story100.txt	19   	1                   	QT__QTC        	I-NP    			1,num                         	-     
story100.txt	20   	:                   	RD__SYM        	I-NP    			:,punc                        	-     
story100.txt	21   	&quot;&quot;...     	RD__PUNC       	I-NP    			...,punc                      	-     
story100.txt	22   	.                   	RD__PUNC       	I-NP    			.,punc                        	-     
story100.txt	23   	&quot;              	RD__SYM        	B-BLK   			!,punc                        	-     

story100.txt	0    	ಇಂಡಿಯನ್                               	N__NNP         	B-NP    			ಇಂಡಿಯನ್,n                        	-     
story100.txt	1    	ಕೌನ್ಸಿಲ್                               	N__NN          	I-NP    			ಕೌನ್ಸಿಲ್,n                        	-     
